participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,8,7.0,"böyle,",böyle%2C,1,349.0,forward,0,0.0,349.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,9,8.0,voll,voll,1,535.0,forward,0,0.0,535.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,10,9.0,Kassetten,Kassetten,0,386.0,forward,0,0.0,386.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,11,10.0,und,und,0,432.0,forward,0,0.0,432.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,12,11.0,Batterien,Batterien,0,454.0,forward,0,0.0,454.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,13,12.0,dabei,dabei,0,553.0,forward,0,0.0,553.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,14,13.0,gehabt,gehabt,0,407.0,forward,0,0.0,407.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,15,14.0,ne.,ne.,0,548.0,forward,0,0.0,548.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,16,15.0,Şimdi,Şimdi,1,679.0,forward,0,0.0,679.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,17,16.0,tam,tam,0,502.0,forward,0,0.0,502.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,18,17.0,çıkış,çıkış,0,451.0,forward,0,0.0,451.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,19,18.0,kapısındayım.,kapısındayım.,0,1089.0,forward,0,0.0,1089.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,20,19.0,Meint,Meint,1,466.0,forward,0,0.0,466.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,21,20.0,der,der,0,428.0,forward,0,0.0,428.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,22,21.0,Mann,Mann,0,402.0,forward,0,0.0,402.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,23,22.0,zu,zu,0,400.0,forward,0,0.0,400.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,24,23.0,"mir,",mir%2C,0,352.0,forward,0,0.0,352.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,25,24.0,şu,şu,1,648.0,forward,0,0.0,648.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,26,25.0,çantayı,çantayı,0,615.0,forward,0,0.0,615.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,27,26.0,açın,açın,0,1580.0,forward,0,0.0,1580.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,28,27.0,ne.,ne.,1,409.0,forward,0,0.0,409.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,29,28.0,Aber,Aber,0,714.0,forward,0,0.0,714.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,30,29.0,so,so,0,565.0,forward,0,0.0,565.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,31,30.0,voll,voll,0,361.0,forward,0,0.0,361.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,32,31.0,Dings,Dings,0,514.0,forward,0,0.0,514.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,33,32.0,tipi,tipi,1,353.0,forward,0,0.0,353.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,34,33.0,böyle.,böyle.,0,643.0,forward,0,0.0,643.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,35,34.0,So,So,1,598.0,forward,0,0.0,598.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,36,35.0,ein,ein,0,547.0,forward,0,0.0,547.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,37,36.0,unhöflicher.,unhöflicher.,0,622.0,forward,0,0.0,622.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,38,37.0,Das,Das,0,409.0,forward,0,0.0,409.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,39,38.0,siehst,siehst,0,520.0,forward,0,0.0,520.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,40,39.0,du,du,0,364.0,forward,0,0.0,364.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,41,40.0,ihm,ihm,0,382.0,forward,0,0.0,382.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,42,41.0,"an,",an%2C,0,388.0,forward,0,0.0,388.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,43,42.0,ne.,ne.,0,352.0,forward,0,0.0,352.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,44,43.0,Ich:,Ich:,0,563.0,forward,0,0.0,563.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
